Item_Fat_Content,"Item _Identifier",Item_Type,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Visibility,Item_Weight,Total_Sales,Rating
"Low Fat",FDA23,"Baking Goods",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.047178116,9.8,99.4016,5
"Low Fat",FDR60,"Baking Goods",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.130390458,14.3,77.2328,5
"Low Fat",FDN60,"Baking Goods",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.095140088,15.1,159.9604,5
"Low Fat",FDU48,"Baking Goods",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.055347985,18.85,131.5284,5
"Low Fat",FDG60,"Baking Goods",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.060688248,20.35,234.2616,5
"Low Fat",FDU11,Breads,2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.092576144,4.785,121.0098,5
"Low Fat",FDT49,Canned,2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.151376958,7,108.228,5
"Low Fat",FDS37,Canned,2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.031938828,7.655,114.1492,5
"Low Fat",FDK50,Canned,2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.028357839,7.96,163.2894,5
"Low Fat",FDG26,Canned,2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.042641788,18.85,257.833,5
"Low Fat",FDD14,Canned,2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.169776346,20.7,184.4266,5
"Low Fat",FDK41,"Frozen Foods",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.127517605,14.3,86.0224,5
"Low Fat",FDD16,"Frozen Foods",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.036346224,20.5,72.9696,5
"Low Fat",FDZ44,"Fruits and Vegetables",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.038721734,8.185,115.8808,5
"Low Fat",FDO44,"Fruits and Vegetables",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.087436672,12.6,109.9228,5
"Low Fat",DRL11,"Hard Drinks",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.048009081,10.5,157.0946,5
"Low Fat",NCU17,"Health and Hygiene",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.092865746,5.32,100.6674,5
"Low Fat",NCL41,"Health and Hygiene",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.041729735,12.35,36.3216,5
"Low Fat",NCS53,"Health and Hygiene",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.089761211,14.5,159.4604,5
"Low Fat",NCV17,"Health and Hygiene",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.016104504,18.85,130.2626,5
"Low Fat",NCO14,Household,2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.029638267,9.6,42.6086,5
"Low Fat",NCU18,Household,2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.055829496,15.1,140.2496,5
"Low Fat",NCI54,Household,2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.033592687,15.2,108.1912,5
"Low Fat",NCQ50,Household,2017,OUT035,"Tier 2",Small,"Supermarket Type1",0,18.75,213.3218,5
"Low Fat",NCC18,Household,2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.177236497,19.1,172.3422,5
"Low Fat",NCQ38,Others,2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.013363902,16.35,106.128,5
"Low Fat",FDL10,"Snack Foods",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.039484739,8.395,97.9042,5
"Low Fat",FDE34,"Snack Foods",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.107870997,9.195,181.2634,5
"Low Fat",FDL46,"Snack Foods",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.054046706,20.35,119.5466,5
"Low Fat",FDH10,"Snack Foods",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.049295686,21,194.4478,5
"Low Fat",DRE60,"Soft Drinks",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.159304333,9.395,226.172,5
"Low Fat",DRD60,"Soft Drinks",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.03722507,15.7,182.4634,5
Regular,FDR36,"Baking Goods",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.121563385,6.715,43.7454,5
Regular,FDL24,"Baking Goods",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.024891881,10.3,170.9422,5
Regular,FDM36,"Baking Goods",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.058719726,11.65,171.1422,5
Regular,FDD26,Canned,2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.072141818,8.71,183.3924,5
Regular,FDI02,Canned,2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.11454343,15.7,113.7202,5
Regular,FDE04,"Frozen Foods",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.018019662,19.75,181.566,5
Regular,FDQ08,"Fruits and Vegetables",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.018926773,15.7,60.2536,5
Regular,FDV20,"Fruits and Vegetables",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.059790095,20.2,127.4678,5
Regular,FDW03,Meat,2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.024536636,5.63,106.1306,5
Regular,FDX51,Meat,2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.022054553,9.5,195.4452,5
Regular,FDR03,Meat,2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.008734284,15.7,207.898,5
Regular,FDW21,"Snack Foods",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.005962753,5.34,102.4358,5
Regular,FDJ58,"Snack Foods",2017,OUT035,"Tier 2",Small,"Supermarket Type1",0.105276162,15.6,173.2764,5
"Low Fat",FDR48,"Baking Goods",2011,OUT010,"Tier 3",Medium,"Grocery Store",0.220111117,11.65,153.0024,5
"Low Fat",FDO16,"Frozen Foods",2011,OUT010,"Tier 3",Medium,"Grocery Store",0.02528802,5.48,83.325,5
"Low Fat",FDE53,"Frozen Foods",2011,OUT010,"Tier 3",Medium,"Grocery Store",0.044991876,10.895,107.228,5
"Low Fat",FDV31,"Fruits and Vegetables",2011,OUT010,"Tier 3",Medium,"Grocery Store",0.178622919,9.8,177.937,5
"Low Fat",FDF32,"Fruits and Vegetables",2011,OUT010,"Tier 3",Medium,"Grocery Store",0.113953562,16.35,198.2426,5
"Low Fat",DRN35,"Hard Drinks",2011,OUT010,"Tier 3",Medium,"Grocery Store",0.117580062,8.01,36.6532,5
"Low Fat",NCQ17,"Health and Hygiene",2011,OUT010,"Tier 3",Medium,"Grocery Store",0.195721125,10.3,156.463,5
"Low Fat",NCQ41,"Health and Hygiene",2011,OUT010,"Tier 3",Medium,"Grocery Store",0.032606181,14.8,193.5794,5
"Low Fat",NCN06,Household,2011,OUT010,"Tier 3",Medium,"Grocery Store",0.20168772,8.39,162.8868,5
"Low Fat",NCF30,Household,2011,OUT010,"Tier 3",Medium,"Grocery Store",0.211306673,17,125.1362,5
"Low Fat",FDQ39,Meat,2011,OUT010,"Tier 3",High,"Grocery Store",0.13564792,14.8,190.8846,5
"Low Fat",FDL45,"Snack Foods",2011,OUT010,"Tier 3",High,"Grocery Store",0.063081713,15.6,125.7704,5
"Low Fat",FDR10,"Snack Foods",2011,OUT010,"Tier 3",High,"Grocery Store",0.016804724,17.6,163.4552,5
"Low Fat",FDZ09,"Snack Foods",2011,OUT010,"Tier 3",High,"Grocery Store",0.175545889,17.6,163.6868,5
"Low Fat",DRJ13,"Soft Drinks",2011,OUT010,"Tier 3",High,"Grocery Store",0.105265475,12.65,159.9578,5
"Low Fat",DRD24,"Soft Drinks",2011,OUT010,"Tier 3",High,"Grocery Store",0.051544658,13.85,142.5154,5
"Low Fat",DRH25,"Soft Drinks",2011,OUT010,"Tier 3",High,"Grocery Store",0.02442574,18.7,52.9324,5
Regular,FDC60,"Baking Goods",2011,OUT010,"Tier 3",High,"Grocery Store",0.191603334,5.425,87.0514,5
Regular,FDJ36,"Baking Goods",2011,OUT010,"Tier 3",High,"Grocery Store",0.214681063,14.5,102.7332,5
Regular,FDU47,Breads,2011,OUT010,"Tier 3",High,"Grocery Store",0.190569038,12.8,138.7838,5
Regular,FDA03,Dairy,2011,OUT010,"Tier 3",High,"Grocery Store",0.076097035,18.5,145.8102,5
Regular,FDY40,"Frozen Foods",2011,OUT010,"Tier 3",High,"Grocery Store",0.143670179,15.5,48.4692,5
Regular,FDZ16,"Frozen Foods",2011,OUT010,"Tier 3",High,"Grocery Store",0.267565911,16.85,194.1478,5
Regular,FDW07,"Fruits and Vegetables",2011,OUT010,"Tier 3",High,"Grocery Store",0.238831875,18,88.2514,5
"Low Fat",FDW23,"Baking Goods",2000,OUT013,"Tier 3",High,"Supermarket Type1",0.081944045,5.765,36.7164,5
"Low Fat",FDW59,Breads,2000,OUT013,"Tier 3",High,"Supermarket Type1",0.020698674,13.15,86.3566,5
"Low Fat",DRF27,Dairy,2000,OUT013,"Tier 3",High,"Supermarket Type1",0.028393624,8.93,153.434,5
"Low Fat",FDB15,Dairy,2000,OUT013,"Tier 3",High,"Supermarket Type1",0.136696892,10.895,264.5568,5
"Low Fat",FDG16,"Frozen Foods",2000,OUT013,"Tier 3",High,"Supermarket Type1",0.089742065,15.25,213.7192,5
"Low Fat",FDJ04,"Frozen Foods",2000,OUT013,"Tier 3",High,"Supermarket Type1",0.124348482,18,118.3124,5
"Low Fat",FDJ32,"Fruits and Vegetables",2000,OUT013,"Tier 3",High,"Supermarket Type1",0.057744249,10.695,61.2536,5
"Low Fat",FDM56,"Fruits and Vegetables",2000,OUT013,"Tier 3",High,"Supermarket Type1",0.070133177,16.7,109.8912,5
"Low Fat",FDB45,"Fruits and Vegetables",2000,OUT013,"Tier 3",High,"Supermarket Type1",0.021312043,20.85,104.9306,5
"Low Fat",DRJ23,"Hard Drinks",2000,OUT013,"Tier 3",High,"Supermarket Type1",0.041634206,18.35,188.1872,5
"Low Fat",NCN06,Household,2000,OUT013,"Tier 3",High,"Supermarket Type1",0.120396991,8.39,163.4868,5
"Low Fat",NCF43,Household,2000,OUT013,"Tier 3",High,"Supermarket Type1",0.05190268,8.51,142.247,5
"Low Fat",NCG07,Household,2000,OUT013,"Tier 3",High,"Supermarket Type1",0.052458358,12.3,188.753,5
